variable,smd_unweighted,smd_weighted,abs_smd_unweighted,abs_smd_weighted,improved_after_weighting
cat__baseline_region_Ireland,0.006278723477596391,-0.0018644941648291522,0.006278723477596391,0.0018644941648291522,True
cat__baseline_module_presentation_DDD_2014J,0.006249513251856042,0.0016142536046111447,0.006249513251856042,0.0016142536046111447,True
cat__baseline_region_Scotland,-0.006028978990913251,0.0008489128715641038,0.006028978990913251,0.0008489128715641038,True
cat__baseline_imd_band_40-50%,-0.004248676347173724,-0.0007416146082883123,0.004248676347173724,0.0007416146082883123,True
cat__baseline_module_presentation_DDD_2013J,0.0025941258569262167,-0.002087801769159998,0.0025941258569262167,0.002087801769159998,True
cat__baseline_module_presentation_FFF_2014B,-0.002203646686297822,0.0012907000343161514,0.002203646686297822,0.0012907000343161514,True
num__early_assessment_tma_count_14d,-0.0021859967235338435,0.0021570170668611713,0.0021859967235338435,0.0021570170668611713,True
num__early_assessment_count_14d,-0.0021859967235338435,0.0021570170668611713,0.0021859967235338435,0.0021570170668611713,True
num__early_assessment_weight_14d,-0.0021859967235338105,0.002157017066861121,0.0021859967235338105,0.002157017066861121,True
cat__baseline_module_presentation_BBB_2014B,-0.002185996723533806,0.00215701706686115,0.002185996723533806,0.00215701706686115,True
cat__baseline_module_presentation_FFF_2014J,-0.002101900939486675,0.0011093982749791525,0.002101900939486675,0.0011093982749791525,True
cat__baseline_module_presentation_DDD_2013B,-0.002101423625558212,-0.0013221833967544652,0.002101423625558212,0.0013221833967544652,True
cat__baseline_module_presentation_EEE_2014J,-0.0015610502279597347,-0.00039432416955472057,0.0015610502279597347,0.00039432416955472057,True
cat__baseline_module_presentation_BBB_2013B,0.0015283684520586566,0.0018963422369454139,0.0015283684520586566,0.0018963422369454139,False
cat__baseline_module_presentation_EEE_2014B,-0.001487072411590834,-0.0017885305384248715,0.001487072411590834,0.0017885305384248715,False
cat__baseline_module_presentation_BBB_2014J,0.0014463767180250067,0.0008740258646404883,0.0014463767180250067,0.0008740258646404883,True
cat__baseline_module_presentation_FFF_2013B,-0.001436907264238259,0.0007920703701696317,0.001436907264238259,0.0007920703701696317,True
cat__baseline_module_presentation_CCC_2014J,-0.0011870637816154008,-0.0008156359872715515,0.0011870637816154008,0.0008156359872715515,True
cat__baseline_module_presentation_AAA_2013J,-0.0011524384300003873,-0.0006023793429440428,0.0011524384300003873,0.0006023793429440428,True
cat__baseline_module_presentation_AAA_2014J,-0.0011173988713358697,-0.000560480300652994,0.0011173988713358697,0.000560480300652994,True
cat__baseline_module_presentation_FFF_2013J,-0.0010918618292058869,-0.00024669237687328346,0.0010918618292058869,0.00024669237687328346,True
cat__baseline_module_presentation_GGG_2013J,0.0009503824338132408,-0.002510090009931626,0.0009503824338132408,0.002510090009931626,False
cat__baseline_module_presentation_EEE_2013J,-0.000655945978316849,-0.002452008373081606,0.000655945978316849,0.002452008373081606,False
cat__baseline_module_presentation_BBB_2013J,-0.0006396777271466146,-6.786361541150913e-05,0.0006396777271466146,6.786361541150913e-05,True
cat__baseline_module_presentation_CCC_2014B,-0.000591977250784776,-0.0009127524095406961,0.000591977250784776,0.0009127524095406961,False
cat__baseline_module_presentation_GGG_2014J,-0.0002648244514242244,0.003931627753819643,0.0002648244514242244,0.003931627753819643,False
cat__baseline_module_presentation_DDD_2014B,-9.028860425737134e-05,-0.0010175221623674098,9.028860425737134e-05,0.0010175221623674098,False
num__baseline_module_presentation_length,8.944864915328802e-05,-0.0007962727436919646,8.944864915328802e-05,0.0007962727436919646,False
num__early_assessment_cma_count_14d,0.0,0.0,0.0,0.0,True
num__early_assessment_exam_count_14d,0.0,0.0,0.0,0.0,True
