section,scenario_id,window_days,threshold_name,treatment_column,outcome_column,availability_column,stratum,subgroup_variable,subgroup_level,placebo_outcome,adjustment_columns,n,treated_count,control_count,outcome_event_count,scenario_status,estimator,preferred,estimator_status,estimate,treated_mean,control_mean,matched_pairs,matched_retention,effective_sample_size,common_support_outside_share,max_abs_smd_after_weighting,poor_overlap,skip_reason,notes
window_threshold,pooled_21d_top_quartile,21,top_quartile,treatment_high_engagement_21d_top_quartile,outcome_success,treatment_available_21d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_21d|early_assessment_weight_21d|early_assessment_cma_count_21d|early_assessment_tma_count_21d|early_assessment_exam_count_21d,27913,7014,20899,15385,success,stabilized_iptw,False,success,0.21565533184301766,0.7126664988764677,0.49701116703345005,,,26522.317423009456,0.0005373840146168452,0.0575391117027429,True,,stabilized IPTW Hajek-style weighted mean contrast; no default truncation
window_threshold,pooled_21d_top_quartile,21,top_quartile,treatment_high_engagement_21d_top_quartile,outcome_success,treatment_available_21d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_21d|early_assessment_weight_21d|early_assessment_cma_count_21d|early_assessment_tma_count_21d|early_assessment_exam_count_21d,27913,7014,20899,15385,success,aipw,True,success,0.21915778046658108,0.7162851466751231,0.4971273662085421,,,26522.317423009456,0.0005373840146168452,0.0575391117027429,True,,doubly robust AIPW estimator using propensity and separate outcome nuisance models
pooled_primary,pooled_primary_14d_median,14,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,28128,14134,13994,15385,success,regression_adjustment,False,success,0.23492551589723043,0.66354847994388,0.42862296404664957,,,26694.299162314917,0.0004977246871444823,0.02233963239830077,True,,mean predicted potential outcome under separate logistic outcome regressions
pooled_primary,pooled_primary_14d_median,14,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,28128,14134,13994,15385,success,stabilized_iptw,False,success,0.2339845183910781,0.6623090522124384,0.4283245338213603,,,26694.299162314917,0.0004977246871444823,0.02233963239830077,True,,stabilized IPTW Hajek-style weighted mean contrast; no default truncation
pooled_primary,pooled_primary_14d_median,14,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,28128,14134,13994,15385,success,aipw,True,success,0.23525951382197552,0.6640474048176388,0.42878789099566333,,,26694.299162314917,0.0004977246871444823,0.02233963239830077,True,,doubly robust AIPW estimator using propensity and separate outcome nuisance models
module_presentation,module_AAA_2013J,14,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,AAA_2013J,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,372,186,186,278,success,regression_adjustment,False,success,0.125212522799511,0.8172653721321768,0.6920528493326658,,,278.75786109467765,0.04838709677419355,0.1516385739938066,True,,mean predicted potential outcome under separate logistic outcome regressions
module_presentation,module_AAA_2013J,14,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,AAA_2013J,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,372,186,186,278,success,stabilized_iptw,False,success,0.12679182258655008,0.8201149009898085,0.6933230784032585,,,278.75786109467765,0.04838709677419355,0.1516385739938066,True,,stabilized IPTW Hajek-style weighted mean contrast; no default truncation
module_presentation,module_AAA_2013J,14,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,AAA_2013J,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,372,186,186,278,success,aipw,True,success,0.12971972658820702,0.8241778001439323,0.6944580735557252,,,278.75786109467765,0.04838709677419355,0.1516385739938066,True,,doubly robust AIPW estimator using propensity and separate outcome nuisance models
module_presentation,module_AAA_2014J,14,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,AAA_2014J,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,350,175,175,253,success,regression_adjustment,False,success,0.12472384820793725,0.7860539232240937,0.6613300750161565,,,268.0274102804649,0.11428571428571428,0.15490630111468484,True,,mean predicted potential outcome under separate logistic outcome regressions
module_presentation,module_AAA_2014J,14,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,AAA_2014J,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,350,175,175,253,success,stabilized_iptw,False,success,0.12566186282996072,0.8021552146316094,0.6764933518016487,,,268.0274102804649,0.11428571428571428,0.15490630111468484,True,,stabilized IPTW Hajek-style weighted mean contrast; no default truncation
module_presentation,module_AAA_2014J,14,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,AAA_2014J,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,350,175,175,253,success,aipw,True,success,0.12914403248921646,0.797020992216393,0.6678769597271768,,,268.0274102804649,0.11428571428571428,0.15490630111468484,True,,doubly robust AIPW estimator using propensity and separate outcome nuisance models
module_presentation,module_BBB_2013B,14,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,BBB_2013B,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,1609,811,798,803,success,regression_adjustment,False,success,0.3151858055298695,0.6545993190718383,0.3394135135419688,,,1531.2310216917515,0.0074580484773151025,0.057654308999682984,True,,mean predicted potential outcome under separate logistic outcome regressions
